Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2018)","FOB (BAHT)(Mar 2018)","Quantity (Jan - Mar 2018)","FOB (BAHT)(Jan - Mar 2018)"
2561,3,2,CN,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",19,2270,38,2818
2561,3,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",3161,703905,9164,1767116
2561,3,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1531169,48660464,4853281,151673444
2561,3,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",31680,717940,91980,2882794
2561,3,2,BE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",478357,19960196,1068661,44561351
2561,3,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",3000,146909,17000,932745
2561,3,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",88810,2958073,624010,21369262
2561,3,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1177213,26675577,2916840,64786243
2561,3,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",1300,83133,1550,99364
2561,3,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",14,1404,92,8504
2561,3,2,UA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",975,13676,75975,997478
2561,3,2,US,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,38000,1117030
2561,3,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",365866,7288281,2120656,40214124
2561,3,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",28031,1717055,76817,7338482
2561,3,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",111772,5958492,161632,8848204
2561,3,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",57192,2465521,107018,5724243
2561,3,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",2,45,2,45
2561,3,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",504,31888,504,31888
2561,3,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",8076000,109920255,20291000,280361420
2561,3,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",73164,2967841,205840,8567120
2561,3,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",128171,7866616,386856,21113726
2561,3,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",592878,19605077,1882007,60808378
2561,3,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",160119,6523131,422462,17534535
2561,3,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",10000,600000,72800,5685549
2561,3,2,HK,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",19,1065,34,1446
2561,3,2,ID,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",15000,266999,772000,12597665
2561,3,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",17586529,370750608,73485814,1512539545
2561,3,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",118292,2447625,505379,10423563
2561,3,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",144550,2289839,935257,15321828
2561,3,2,ID,10063030,006,KGM,"Glutinous rice 25 % (KGM)",670280,11723349,2931376,50299191
2561,3,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",183884,10652325,708772,40623337
2561,3,2,HK,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",30848,690389,99848,1900705
2561,3,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",103044187,3587036076,333958125,11093354703
2561,3,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",538600,18086850,1960203,59422764
2561,3,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",319979,9166161,1438289,40108902
2561,3,2,CM,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",25980,717901,384640,11093142
2561,3,2,AU,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",680647,30079419,2534126,112118369
2561,3,2,HK,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",4000,203797,9000,462114
2561,3,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",151682229,1973300802,563092282,7272936694
2561,3,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",1932635,28471260,9590457,134431626
2561,3,2,AO,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",48947708,622387766,135326796,1757573530
2561,3,2,BD,10063091,004,KGM,"Parboiled rice 5%  (KGM)",97494,1571541,15582494,197568229
2561,3,2,ES,10063091,005,KGM,"Parboiled rice 10% Sortexed (KGM)",1665000,22648765,4375000,59277285
2561,3,2,RU,10063091,007,KGM,"Parboiled rice 15% (KGM)",3060000,37828842,7057000,88868079
2561,3,2,BD,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",8683600,100828589,35637900,432827064
