Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2021)","FOB (BAHT)(Jun 2021)","Quantity (Jan - Jun 2021)","FOB (BAHT)(Jan - Jun 2021)"
2564,6,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",2,1355,2,1355
2564,6,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",568612,19015363,3912543,130927779
2564,6,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3000,125206,24120,842422
2564,6,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",55918,3148587,1592311,72923247
2564,6,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,6,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,829582,28969002
2564,6,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",421724,10404744,4113870,91073440
2564,6,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,6,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,156,81,11277
2564,6,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",43208,1155988,337648,6848643
2564,6,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",345840,7265251,3912034,64274179
2564,6,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,26,188,28186
2564,6,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",12510,638685,162309,9880356
2564,6,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",2,80,2,80
2564,6,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",7069,332247,18069,891317
2564,6,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",310,49600,363,56940
2564,6,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,6,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",479000,7314250,10310564,156511848
2564,6,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",38767,1726140,273906,12175300
2564,6,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",141749,5261575,3669000,70433217
2564,6,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",22760,1217150,165800,9480414
2564,6,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",22157,1742635,322851,19097963
